Kościół Zielonoświątkowy,Pentecostal Church
Kościół Rzymskokatolicki,Roman Catholic Church
Zbór w Mielcu,Mielec congregation
zbór,congregation
nabożeństwo,service
Mała kawka,Coffee and Chat
Małej Kawki,Coffee and Chat
Studium Słowa,Bible Study
Zaplanuj wizytę,Plan your visit
Wieczerza Pańska,the Lord's Supper
Niebieskie Karty,Blue Card procedure
ostatnie namaszczenie,last rites
Naczelna Rada Kościoła,Supreme Church Council
Rada Kościoła,Church Council
Służba Katechetyczna,Catechetical Ministry
prezbiter,presbyter
diakon,deacon
uwielbienie,worship
usługiwanie,ministry
Orędowniczka,Advocate
Słowo Boże,the Word of God
Pismo Święte,Scripture
Trójca Święta,the Trinity
Duch Święty,the Holy Spirit
usprawiedliwienie,justification
łaska,grace
chrzest w Duchu Świętym,baptism in the Holy Spirit
Rzeczpospolita Polska,the Republic of Poland
Wieczerzy Pańskiej,the Lord's Supper
Wieczerzę Pańską,the Lord's Supper
