Kościół Zielonoświątkowy,Iglesia Pentecostal
Kościół Rzymskokatolicki,Iglesia Católica Romana
Zbór w Mielcu,congregación de Mielec
zbór,congregación
nabożeństwo,culto
Mała kawka,Café y conversación
Małej Kawki,Café y conversación
Studium Słowa,Estudio de la Palabra
Zaplanuj wizytę,Planifica tu visita
Wieczerza Pańska,la Cena del Señor
Niebieskie Karty,procedimiento «Tarjeta Azul»
ostatnie namaszczenie,extremaunción
Naczelna Rada Kościoła,Consejo Supremo de la Iglesia
Rada Kościoła,Consejo de la Iglesia
Służba Katechetyczna,Ministerio Catequético
prezbiter,presbítero
diakon,diácono
uwielbienie,adoración
usługiwanie,ministerio
Orędowniczka,Abogada
Słowo Boże,la Palabra de Dios
Pismo Święte,la Escritura
Trójca Święta,la Santísima Trinidad
Duch Święty,el Espíritu Santo
usprawiedliwienie,justificación
łaska,gracia
chrzest w Duchu Świętym,bautismo en el Espíritu Santo
Rzeczpospolita Polska,la República de Polonia
Wieczerzy Pańskiej,la Cena del Señor
Wieczerzę Pańską,la Cena del Señor
