Kościół Zielonoświątkowy,Церква Християн Віри Євангельської
Kościół Rzymskokatolicki,Римо-Католицька Церква
Zbór w Mielcu,громада в Мельці
zbór,громада
nabożeństwo,богослужіння
Mała kawka,Кава та розмова
Małej Kawki,Кава та розмова
Studium Słowa,Вивчення Слова
Zaplanuj wizytę,Заплануйте візит
Wieczerza Pańska,Вечеря Господня
Niebieskie Karty,процедура «Синя карта»
ostatnie namaszczenie,останнє помазання
Naczelna Rada Kościoła,Головна Рада Церкви
Rada Kościoła,Рада Церкви
Służba Katechetyczna,Катехитична служба
prezbiter,пресвітер
diakon,диякон
uwielbienie,поклоніння
usługiwanie,служіння
Orędowniczka,Заступниця
Słowo Boże,Слово Боже
Pismo Święte,Святе Письмо
Trójca Święta,Свята Тройця
Duch Święty,Святий Дух
usprawiedliwienie,виправдання
łaska,благодать
chrzest w Duchu Świętym,хрищення Духом Святим
Rzeczpospolita Polska,Республіка Польща
Wieczerzy Pańskiej,Вечері Господньої
Wieczerzę Pańską,Вечерю Господню
